2023-03-07 11:04:29.974 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\CEEJB\com\cs\batchframework不存在
2023-03-07 11:04:29.974 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-03-07 11:04:29.975 [com.xw.controller.UpdateCoreController:97] INFO   当前CEV2.0test1中的CEEJB更新完毕
2023-03-07 11:04:29.979 [com.xw.service.UpdateCoreServiceImpl:270] ERROR  更新第三方jar包[replaceTest.jar]时出现异常String index out of range: -1
2023-03-07 11:04:29.979 [com.xw.controller.UpdateCoreController:121] ERROR  当前CEV2.0test1中的第三方jar包更新异常
2023-03-07 11:04:29.983 [com.xw.controller.UpdateCoreController:118] INFO   当前CEV2.0test2中的第三方jar包更新完毕
2023-03-07 11:04:29.987 [com.xw.service.UpdateCoreServiceImpl:270] ERROR  更新第三方jar包[replaceTest.jar]时出现异常String index out of range: -1
2023-03-07 11:04:29.988 [com.xw.controller.UpdateCoreController:121] ERROR  当前CEV3.0test1中的第三方jar包更新异常
2023-03-07 11:04:29.991 [com.xw.controller.UpdateCoreController:118] INFO   当前CEV3.0test2中的第三方jar包更新完毕
2023-03-07 11:04:29.994 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB.jar 成功
2023-03-07 11:04:30.317 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\BatchFrameHelper.class 成功
2023-03-07 11:04:30.318 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\BatchJobHandler.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition\CESQLPartitionHandler.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition\IPartitionHandler.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\ReceiveMQForBatch.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SplitFilesBatchHandler.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SubfileBatchHandler.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SubFileJobExecuter.class 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\batchframework 成功
2023-03-07 11:04:30.319 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\base\SecuBase.class 成功
