2023-02-28 10:35:40.627 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception不存在
2023-02-28 10:35:40.627 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.630 [com.xw.controller.UpdateCoreController:96] INFO   当前CEV2.0test1中的ProjectJARs更新完毕
2023-02-28 10:35:40.636 [com.xw.service.UpdateCoreServiceImpl:271] ERROR  更新第三方jar包[replaceTest.jar]时出现异常String index out of range: -1
2023-02-28 10:35:40.637 [com.xw.controller.UpdateCoreController:120] ERROR  当前CEV2.0test1中的第三方jar包更新异常
2023-02-28 10:35:40.641 [com.xw.controller.UpdateCoreController:117] INFO   当前CEV2.0test2中的第三方jar包更新完毕
2023-02-28 10:35:53.931 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB.jar 成功
2023-02-28 10:35:54.273 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\BatchFrameHelper.class 成功
2023-02-28 10:35:54.273 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\BatchJobHandler.class 成功
2023-02-28 10:35:54.274 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition\CESQLPartitionHandler.class 成功
2023-02-28 10:35:54.274 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition\IPartitionHandler.class 成功
2023-02-28 10:35:54.274 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\partition 成功
2023-02-28 10:35:54.274 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\ReceiveMQForBatch.class 成功
2023-02-28 10:35:54.274 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SplitFilesBatchHandler.class 成功
2023-02-28 10:35:54.275 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SubfileBatchHandler.class 成功
