1667461656580|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )
1667461793685|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )
1667461799435|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|update db set status = ? where record = ? and jarName = ?;|update db set status = '2' where record = 'admin' and jarName = 'CEEJB.jar';
1667461799440|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667464554620|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL )
1667464587619|4|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|insert into db (record,jarName,status) values(?,?,?)|insert into db (record,jarName,status) values('admin','CEEJB.jar','1')
1667464588600|5|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|update db set status = ? where record = ? and jarName = ?;|update db set status = '2' where record = 'admin' and jarName = 'CEEJB.jar';
1667464998333|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667465005831|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|update db set status = ? where record = ? and jarName = ?;|update db set status = '1' where record = 'admin' and jarName = 'CEEJB.jar';
1667465005831|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667465009170|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|insert into db (record,jarName,status) values(?,?,?)|insert into db (record,jarName,status) values('admin','CEEJB.jar','1')
1667465009900|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667465010135|7|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|update db set status = ? where record = ? and jarName = ?;|update db set status = '2' where record = 'admin' and jarName = 'CEEJB.jar';
1667465013960|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667525882582|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' timestamp not null default (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' timestamp not null default (datetime('now','localtime')) )
1667525931614|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|select * from db where record = ?;|select * from db where record = 'admin';
1667526446673|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TIMESTAMP NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TIMESTAMP NOT NULL DEFAULT (datetime('now','localtime')) )
1667526641084|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )
1667526719654|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.db|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )
1667526782311|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'dbever' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )|CREATE TABLE 'dbever' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL )
